Product Category Level 1,Product Category Level 2,Product Category Level 3,Product List Clicks,Product Adds To Cart,Unique Purchases
Beauty,Make-Up,Lips,"1,31,783","25,817","7,177"
Beauty,Make-Up,Nails,"1,06,918","27,672","8,920"
Beauty,Make-Up,Face Makeup,"68,249","15,812","4,969"
Beauty,Make-Up,Eyes,"56,337","14,957","4,725"
Beauty,Hair,Hair Care,"47,005","10,300","4,059"
Beauty,Personal Care,Face Personal Care,"37,557","8,262","3,129"
Beauty,Skin Care,Masks,"24,698","5,176","1,561"
Beauty,Personal Care,Bath & Shower,"22,037","4,437","1,639"
Beauty,Fragrances,Unisex,"21,383","4,848","1,535"
Beauty,Skin Care,Toners & Serums,"19,274","2,787",801
Beauty,Hair,Hair Color,"16,189","3,737","1,301"
Beauty,Skin Care,Moisturizers,"14,996","2,519",867
Beauty,Skin Care,Face Skin Care,"14,897","3,397","1,371"
Beauty,Skin Care,Sunscreen,"13,418","1,981",641
Beauty,Personal Care,Lip Care,"12,768","2,654",889
Beauty,Fragrances,Women,"12,390","2,008",574
Beauty,Personal Care,Body Care,"9,083","2,036",845
Beauty,Skin Care,Cleansers,"7,121","2,549","1,024"
Beauty,Fragrances,Men,"6,742","1,876",567
Beauty,Skin Care,Eye Care,"6,008",374,106
Beauty,Mom & Baby,Feminine Hygiene,"6,006",797,345
Beauty,Mom & Baby,Baby Care,"4,301",936,394
Beauty,Hair,Hair Tools & Accessories,"3,447",586,247
Beauty,Hair,Scalp Treatments,"2,887",402,139
Beauty,Men's Grooming,Shaving,"2,866",175,75
Beauty,Men's Grooming,Beard Care,"2,812",141,71
Beauty,Skin Care,Aromatherapy,"2,561",528,238
Beauty,Tools & Appliances,Face,"2,139",123,18
Beauty,Fragrances,"Unisex,Men","2,072",0,0
Beauty,Personal Care,Hands & Feet,"2,066",570,207
Beauty,Mom & Baby,Baby Bath Time,"1,906",806,308
Beauty,Personal Care,Oral Care,"1,851",637,284
Beauty,Make-Up,Make-Up Tools & Brushes,"1,777",290,103
Beauty,Hair,Hair Styling,"1,772",624,275
Beauty,Tools & Appliances,Hair Styling Tools,"1,478",126,21
Beauty,Ayush,Ayurvedic,"1,268",397,170
Beauty,Personal Care,Home & Health,"1,078",214,107
Beauty,Personal Care,Bathing Accessories,979,269,129
Beauty,Personal Care,Personal Care Tools & Accessories,923,178,76
Beauty,Wellness,Health - Supplements,836,124,71
Beauty,Fragrances,"Unisex,Women",826,0,0
Beauty,Fitness,Health Food And Drinks,510,141,76
Beauty,Tools & Appliances,Massage Tools,469,17,2
Beauty,Mom & Baby,Maternity Care,260,45,19
Beauty,Covid Essentials,Personal & Home Essentials,248,51,6
Beauty,Fitness,Ayurvedic Supplements,199,73,33
Beauty,Ayush,Homeopathy,188,21,8
Beauty,Make-Up,"Face Makeup,Eyes",188,0,0
Beauty,Skin Care,"Toners & Serums,Face Skin Care",106,0,0
Beauty,Mom & Baby,Maternity Accessories,102,11,0
Beauty,Fitness,Vitamins And Supplements,98,19,4
Beauty,Blue Heaven Creme Matte Lipstick - Red Matte 195 4 gm,(not set),92,0,0
Beauty,Personal Care,Senior Care,82,3,2
Beauty,"Skin Care,Fragrances","Masks,Unisex,Men",78,0,0
Beauty,Hair,Shop By Hair Type,67,7,3
Beauty,Treatments,Pain Relief Application,60,18,7
Beauty,Treatments,Skin Treatment,47,25,10
Beauty,Treatments,Cough & Cold,41,1,0
Beauty,Garnier Skin Naturals Bright Complete Vitamin C UV Serum Cream 23 gm,(not set),25,0,0
Beauty,GLIMMER COMPACT CLASSIC IVORY 8 gm,(not set),18,0,0
Beauty,Fitness,Family Nutrition,17,1,1
Beauty,Faces Canada Weightless Matte Finish Lipstick Blazing Blush 20 4 Gm,(not set),14,0,0
Beauty,Blue Heaven Creme  Lipstick - Riche Maroon 119 4 gm,(not set),13,0,0
Beauty,Bella Voste Gel-Shine Nail Paints Pump It Up(36) 9 Ml,(not set),12,0,0
Beauty,Lakme Forever Matte Liquid Lip Colour Nude Myth 5.6 Ml,(not set),12,0,0
Beauty,Blue Heaven Hyperstay Matte - Ginger Brown-12 6 ml,(not set),11,0,0
Beauty,Glimmer Nail Polish Slate Grey 5 ml,(not set),11,0,0
Beauty,Bio Fruit Depigmentation Pack 50 Gm,(not set),10,0,0
Beauty,Miss Claire Waterproof Kohl & Kajal Soft Kohl Kajal Pencil (Silver Cap) 1.2 Gm,(not set),9,0,0
Beauty,Blue Heaven Creme  Lipstick - Riche Maroon 115 4 gm,(not set),8,0,0
Beauty,"Blue Heaven 12-in-1 Bling Eyeshadow, Subtle Romance 22 gm",(not set),7,0,0
Beauty,Blue Heaven Creme Matte Lipstick - Red Matte 191 4 gm,(not set),7,0,0
Beauty,GUBB Round Hair Brush - Styler Range 140 gm,(not set),7,0,0
Beauty,Keya Seth Aromatherapy Skin Defence Orange Body Oil 400 ml,(not set),7,0,0
Beauty,"Blue Heaven 12-in-1 Bling Eyeshadow, Indie Vibe 22 gm",(not set),6,0,0
Beauty,"Blue Heaven Lip Bomb,Bubblegum 8 gm",(not set),6,0,0
Beauty,"Elle 18 Color Pop Matte Lip Color, P24, Pink Show 4.3 gm",(not set),6,0,0
Beauty,Miss Claire Waterproof Eyebrow Pencil 01 Black (Mascara Brush) 1.4 Gm,(not set),6,0,0
Beauty,Blue Heaven Creme Matte Lipstick - Red Matte 192 4 gm,(not set),5,0,0
Beauty,Faces Canada Weightless Matte Finish Foundation Ivory 01 1 18 Ml,(not set),5,0,0
Beauty,Insight Cosmetics 2X Cover Master Concealer - Golden Sand 6 ml,(not set),5,0,0
Beauty,Insight Cosmetics Multi-Use Loose Eyeshadow - Gold Crown 4 gm,(not set),5,0,0
Beauty,Insight Cosmetics Non - Transfer Lip Color - 25 MOLTEN PINK 4 ml,(not set),5,0,0
Beauty,"L'Oreal Paris Casting Creme Gloss Hair Color, 400 Dark Brown 159.5 Gm",(not set),5,0,0
Beauty,Lakme Forever Matte Liquid Lip Colour Red Velvet 5.6 Ml,(not set),5,0,0
Beauty,Lotus Herbals Youthrx Activating Serum + Creme 30 Ml,(not set),5,0,0
Beauty,Miss Claire Glimmersticks For Eyes E-08 Sea Green 1.8 Gm,(not set),5,0,0
Beauty,Miss Claire Waterproof Kohl & Kajal Soft Kohl Kajal Pencil (Black Cap) 1.2 Gm,(not set),5,0,0
Beauty,Bella Voste Sand Holo Nail Paints Plum Berry Purple - 409 10 ml,(not set),4,0,0
Beauty,"Blue Heaven 12-in-1 Bling Eyeshadow, Garden Paradise 22 gm",(not set),4,0,0
Beauty,Blue Heaven Bling Nailpaint 811 (Pink Flash) 8 ml,(not set),4,0,0
Beauty,Blue Heaven Creme Lipstick - Riche Coffee Brown 141 4 gm,(not set),4,0,0
Beauty,Blue Heaven Powder Matte -Mahogany Moments B03 3.5 gm,(not set),4,0,0
Beauty,Clovia Botaniqa Pure Rosemary Essential Oil 10 ml,(not set),4,0,0
Beauty,"Elle 18 Color Pop Matte Lip Color, B2, Brown Ginger 4.3 gm",(not set),4,0,0
Beauty,"Elle 18 Color Pop Matte Lip Color, P21, Pink Kiss 4.3 gm",(not set),4,0,0
Beauty,Glimmer Nail Polish Onion Red 5 ml,(not set),4,0,0
