Date,City,L3,Net_Sales,Forecast_Level
2021-10-19,ADONI,Baby Food & Cereals,,
2021-10-19,ADONI,Infant Formulae,,
2021-10-19,ADONI,Wipes,,
2021-10-19,ADONI,Whole Wheat,,
2021-10-19,ADONI,Onion,,
2021-10-19,ADONI,Potato,,
2021-10-19,ADONI,Coconut,,
2021-10-19,AHMEDABAD,Pickles,,
2021-10-19,AHMEDABAD,Hair Removal,,
2021-10-19,AHMEDABAD,Onion,,
2021-10-19,AHMEDABAD,Potato,,
2021-10-19,AHMEDABAD,Coconut,,
2021-10-19,AHMEDABAD,Nuts & Seeds,,
2021-10-19,AHMEDABAD,Deodorants,,
2021-10-19,BANGALORE,Hair Removal,,
2021-10-19,BANGALORE,Whole Wheat,,
2021-10-19,BANGALORE,Deodorants,,
2021-10-19,BODHAN,Powders,,
2021-10-19,BODHAN,"Oils, Creams & Lotions",,
2021-10-19,BODHAN,Digestive Care,,
2021-10-19,BODHAN,Pain Relief,,
2021-10-19,BODHAN,Diapers & Pants,,
2021-10-19,BODHAN,First Aids,,
2021-10-19,BODHAN,Baby Food & Cereals,,
2021-10-19,BODHAN,Infant Formulae,,
2021-10-19,BODHAN,Cold & Cough Remedies,,
2021-10-19,BODHAN,Wipes,,
2021-10-19,BODHAN,Whole Wheat,,
2021-10-19,BODHAN,Onion,,
2021-10-19,BODHAN,Potato,,
2021-10-19,BODHAN,Coconut,,
2021-10-19,CHENNAI,Hair Removal,,
2021-10-19,CHENNAI,Indian Savouries,,
2021-10-19,CHENNAI,Loose Salt & Sugar,,
2021-10-19,CHENNAI,Whole Wheat,,
2021-10-19,CHENNAI,Onion,,
2021-10-19,CHENNAI,Potato,,
2021-10-19,CHENNAI,Coconut,,
2021-10-19,CHENNAI,Nuts & Seeds,,
2021-10-19,CHENNAI,Deodorants,,
2021-10-19,FARIDABAD,Basmati Rice,,
2021-10-19,FARIDABAD,Wheat Atta,,
2021-10-19,FARIDABAD,Sunflower Oil,,
2021-10-19,FARIDABAD,Palm Oil,,
2021-10-19,FARIDABAD,Salt,,
2021-10-19,FARIDABAD,Blended Masalas,,
2021-10-19,FARIDABAD,Powdered Spices,,
2021-10-19,FARIDABAD,Cream Biscuits & Wafers,,
2021-10-19,FARIDABAD,Other Biscuits & Cookies,,
2021-10-19,FARIDABAD,Noodles,,
2021-10-19,FARIDABAD,Chocos & Flakes,,
2021-10-19,FARIDABAD,Chips,,
2021-10-19,FARIDABAD,Chocolates,,
2021-10-19,FARIDABAD,Ketchups,,
2021-10-19,FARIDABAD,Jams & Preserves,,
2021-10-19,FARIDABAD,Children Health Drinks,,
2021-10-19,FARIDABAD,Instant Coffee,,
2021-10-19,FARIDABAD,Roast & Ground Coffee,,
2021-10-19,FARIDABAD,Dust Tea,,
2021-10-19,FARIDABAD,Leaf Tea,,
2021-10-19,FARIDABAD,Lassi,,
2021-10-19,FARIDABAD,Pure Desi Ghee,,
2021-10-19,FARIDABAD,Milk Powders,,
2021-10-19,FARIDABAD,Condensed Milk,,
2021-10-19,FARIDABAD,Milk Creams,,
2021-10-19,FARIDABAD,Buttermilk,,
2021-10-19,FARIDABAD,Packaged Water,,
2021-10-19,FARIDABAD,Mango Drinks,,
2021-10-19,FARIDABAD,Cold Drinks,,
2021-10-19,FARIDABAD,Powders,,
2021-10-19,FARIDABAD,Bathing Soaps,,
2021-10-19,FARIDABAD,"Oils, Creams & Lotions",,
2021-10-19,FARIDABAD,Hair Oils,,
2021-10-19,FARIDABAD,Bleaches & Blues,,
2021-10-19,FARIDABAD,Toothpastes,,
2021-10-19,FARIDABAD,Tooth Powders,,
2021-10-19,FARIDABAD,Toothbrushes,,
2021-10-19,FARIDABAD,Toilet Cleaners,,
2021-10-19,FARIDABAD,Dishwash Bars,,
2021-10-19,FARIDABAD,Dishwash Liquids,,
2021-10-19,FARIDABAD,Shampoos,,
2021-10-19,FARIDABAD,Talcum Powders,,
2021-10-19,FARIDABAD,Floor Cleaners,,
2021-10-19,FARIDABAD,Hand Wash,,
2021-10-19,FARIDABAD,Glass Cleaners,,
2021-10-19,FARIDABAD,Dishwash Powders,,
2021-10-19,FARIDABAD,Face Wash,,
2021-10-19,FARIDABAD,Body Lotions,,
2021-10-19,FARIDABAD,Detergent Powders,,
2021-10-19,FARIDABAD,Detergent Bars,,
2021-10-19,FARIDABAD,Marie & Digestive Biscuits,,
2021-10-19,FARIDABAD,Oats & Porridge,,
2021-10-19,FARIDABAD,Adult Health Drinks,,
2021-10-19,FARIDABAD,Face Creams & Moisturisers,,
2021-10-19,FARIDABAD,Agarbatti & Dhoop,,
2021-10-19,FARIDABAD,Dishwash Scrub Pads,,
2021-10-19,FARIDABAD,Candies & Toffees,,
2021-10-19,FARIDABAD,Mosquito Repellents,,
2021-10-19,FARIDABAD,Insect Control,,
2021-10-19,FARIDABAD,Glucose & Milk Biscuits,,
2021-10-19,FARIDABAD,Rusk & Khari,,
2021-10-19,FARIDABAD,Pure Cow Ghee,,
2021-10-19,FARIDABAD,Honey,,
2021-10-19,FARIDABAD,"Broom, Mop & Wiper",,
2021-10-19,FARIDABAD,Pickles,,
2021-10-19,FARIDABAD,Digestive Care,,
2021-10-19,FARIDABAD,Sanitary Pads,,
2021-10-19,FARIDABAD,Other Flavoured Drinks,,
2021-10-19,FARIDABAD,Ready Mixes,,
2021-10-19,FARIDABAD,Diaries & Notebooks.,,
2021-10-19,FARIDABAD,Soya Chunks,,
2021-10-19,FARIDABAD,Fabric Softeners,,
2021-10-19,FARIDABAD,Air Fresheners,,
2021-10-19,FARIDABAD,Sabudana,,
2021-10-19,FARIDABAD,Dates,,
2021-10-19,FARIDABAD,Flavoured Milk,,
2021-10-19,FARIDABAD,Besan & Sattu,,
2021-10-19,FARIDABAD,Foot Care,,
2021-10-19,FARIDABAD,Other Atta,,
2021-10-19,FARIDABAD,Hair Colors & Dyes,,
2021-10-19,FARIDABAD,Chocolate Gift Packs,,
2021-10-19,FARIDABAD,Battery,,
2021-10-19,FARIDABAD,Mints & Gums,,
2021-10-19,FARIDABAD,Pain Relief,,
2021-10-19,FARIDABAD,Sugar,,
2021-10-19,FARIDABAD,Crafts Glues,,
2021-10-19,FARIDABAD,Soups,,
2021-10-19,FARIDABAD,Milk Shakes,,
2021-10-19,FARIDABAD,Lamp & Lamp Oil,,
2021-10-19,FARIDABAD,"Buckets, Mugs & Tubs",,
2021-10-19,FARIDABAD,Soda,,
2021-10-19,FARIDABAD,Chutney,,
2021-10-19,FARIDABAD,Rice Bran Oil,,
2021-10-19,FARIDABAD,Moong Dal,,
2021-10-19,FARIDABAD,Toor (Arhar) Dal,,
2021-10-19,FARIDABAD,Cleaning Brush & Utilities,,
2021-10-19,FARIDABAD,Dry Fruit Gift Packs,,
2021-10-19,FARIDABAD,Diapers & Pants,,
2021-10-19,FARIDABAD,Whole Spices,,
2021-10-19,FARIDABAD,Poha,,
2021-10-19,FARIDABAD,Almonds (Badam),,
2021-10-19,FARIDABAD,Raisins,,
2021-10-19,FARIDABAD,Walnuts,,
2021-10-19,FARIDABAD,Detergent Liquids,,
2021-10-19,FARIDABAD,Camphor,,
2021-10-19,FARIDABAD,Stain Removers,,
2021-10-19,FARIDABAD,Maida,,
2021-10-19,FARIDABAD,Sooji & Rava,,
2021-10-19,FARIDABAD,Bulbs & LED,,
2021-10-19,FARIDABAD,Hair Removal,,
2021-10-19,FARIDABAD,Sona Masoori Rice,,
2021-10-19,FARIDABAD,Razors & Blades,,
2021-10-19,FARIDABAD,Namkeen,,
2021-10-19,FARIDABAD,Cashew Nuts,,
2021-10-19,FARIDABAD,Indian Mithai,,
2021-10-19,FARIDABAD,Groundnut Oil,,
2021-10-19,FARIDABAD,Idli & Dosa Rice,,
2021-10-19,FARIDABAD,Other Kitchen Essentials,,
2021-10-19,FARIDABAD,Pista,,
2021-10-19,FARIDABAD,First Aids,,
2021-10-19,FARIDABAD,Other Pooja Accessories,,
2021-10-19,FARIDABAD,Masoor Dal,,
2021-10-19,FARIDABAD,Urad Dal,,
