FC City,L3,Error_Description
ASANSOL,Basmati Rice,Time Series Formed is very insignificant
ASANSOL,Cashew Nuts,Time Series Formed is very insignificant
ASANSOL,Coconut,Time Series Formed is very insignificant
ASANSOL,Digestive Care,Time Series Formed is very insignificant
ASANSOL,First Aids,Time Series Formed is very insignificant
ASANSOL,Miniket Rice,Time Series Formed is very insignificant
ASANSOL,Onion,Time Series Formed is very insignificant
ASANSOL,Pain Relief,Time Series Formed is very insignificant
ASANSOL,Potato,Time Series Formed is very insignificant
ASANSOL,Powders,Time Series Formed is very insignificant
AURANGABAD,Cold & Cough Remedies,Time Series Formed is very insignificant
AURANGABAD,Digestive Care,Time Series Formed is very insignificant
AURANGABAD,First Aids,Time Series Formed is very insignificant
AURANGABAD,Pain Relief,Time Series Formed is very insignificant
BHILWARA,Agarbatti & Dhoop,Time Series Formed is very insignificant
BHILWARA,Aluminium Foils,Time Series Formed is very insignificant
BHILWARA,Basmati Rice,Time Series Formed is very insignificant
BHILWARA,Battery,Time Series Formed is very insignificant
BHILWARA,"Broom, Mop & Wiper",Time Series Formed is very insignificant
BHILWARA,"Buckets, Mugs & Tubs",Time Series Formed is very insignificant
BHILWARA,Cashew Nuts,Time Series Formed is very insignificant
BHILWARA,Chana Dal,Time Series Formed is very insignificant
BHILWARA,Cleaning Brush & Utilities,Time Series Formed is very insignificant
BHILWARA,Coconut,Time Series Formed is very insignificant
BHILWARA,Cold & Cough Remedies,Time Series Formed is very insignificant
BHILWARA,Diapers & Pants,Time Series Formed is very insignificant
BHILWARA,Digestive Care,Time Series Formed is very insignificant
BHILWARA,Dishwash Scrub Pads,Time Series Formed is very insignificant
BHILWARA,First Aids,Time Series Formed is very insignificant
BHILWARA,Masoor Dal,Time Series Formed is very insignificant
BHILWARA,Moong Dal,Time Series Formed is very insignificant
BHILWARA,Onion,Time Series Formed is very insignificant
BHILWARA,Other Pulses,Time Series Formed is very insignificant
BHILWARA,Other Rice Varieties,Time Series Formed is very insignificant
BHILWARA,Pain Relief,Time Series Formed is very insignificant
BHILWARA,"Pencils, Erasers & Sharpeners",Time Series Formed is very insignificant
BHILWARA,Potato,Time Series Formed is very insignificant
BHILWARA,Sunflower Oil,Time Series Formed is very insignificant
BHILWARA,Toor (Arhar) Dal,Time Series Formed is very insignificant
BODHAN,Cold & Cough Remedies,Time Series Formed is very insignificant
BODHAN,Diapers & Pants,Time Series Formed is very insignificant
BODHAN,Digestive Care,Time Series Formed is very insignificant
BODHAN,First Aids,Time Series Formed is very insignificant
BODHAN,Pain Relief,Time Series Formed is very insignificant
BODHAN,Powders,Time Series Formed is very insignificant
BURDWAN,Agarbatti & Dhoop,Time Series Formed is very insignificant
BURDWAN,Air Fresheners,Time Series Formed is very insignificant
BURDWAN,Almonds (Badam),Time Series Formed is very insignificant
BURDWAN,Baked Snacks,Time Series Formed is very insignificant
BURDWAN,Basmati Rice,Time Series Formed is very insignificant
BURDWAN,Bathing Soaps,Time Series Formed is very insignificant
BURDWAN,Battery,Time Series Formed is very insignificant
BURDWAN,Besan & Sattu,Time Series Formed is very insignificant
BURDWAN,Bleaches,Time Series Formed is very insignificant
